iter	Passed	Remaining
0	4	428
1	7	368
2	13	442
3	15	371
4	18	345
5	22	350
6	24	331
7	28	324
8	44	452
9	51	465
10	56	458
11	59	433
12	61	411
13	63	390
14	65	371
15	67	353
16	69	338
17	71	324
18	73	311
19	74	299
20	76	288
21	79	281
22	81	272
23	83	262
24	84	253
25	86	245
26	87	237
27	89	230
28	91	223
29	93	217
30	94	210
31	96	204
32	98	199
33	99	193
34	101	187
35	102	182
36	104	177
37	106	173
38	108	169
39	110	165
40	112	161
41	114	157
42	116	154
43	118	151
44	121	148
45	124	145
46	126	142
47	127	138
48	129	134
49	131	131
50	132	127
51	135	124
52	137	121
53	138	118
54	139	114
55	141	110
56	142	107
57	144	104
58	145	101
59	147	98
60	150	96
61	152	93
62	153	90
63	155	87
64	157	84
65	158	81
66	160	79
67	162	76
68	164	73
69	166	71
70	169	69
71	171	66
72	172	63
73	174	61
74	176	58
75	177	56
76	179	53
77	180	50
78	182	48
79	183	45
80	185	43
81	186	40
82	188	38
83	189	36
84	190	33
85	192	31
86	194	29
87	195	26
88	197	24
89	198	22
90	200	19
91	201	17
92	203	15
93	204	13
94	206	10
95	207	8
96	210	6
97	212	4
98	213	2
99	215	0
